physician_id,physician_specialty,physician_state,payment_date,payment_amount,payment_type,paying_company
PHY00025,Neurology,OH,2025-08-02,1226.25,Speaker Fee,BioGen Solutions
PHY00228,Rheumatology,OH,2024-04-20,50.95,Royalty,NovaHealth Inc
PHY00111,Psychiatry,MI,2025-01-03,22.0,Research Payment,NovaHealth Inc
PHY00180,Endocrinology,CA,2024-10-08,880.9,Speaker Fee,BioGen Solutions
PHY00440,Endocrinology,MI,2024-11-10,252.96,Consulting Fee,Acme Pharma
PHY00150,Psychiatry,TX,2024-10-03,285.1,Royalty,NovaHealth Inc
PHY00112,General Practice,IL,2025-05-30,637.13,Royalty,NovaHealth Inc
PHY00369,Endocrinology,NY,2025-08-28,291.27,Royalty,BioGen Solutions
PHY00062,General Practice,IL,2025-03-16,344.87,Speaker Fee,BioGen Solutions
PHY00173,Endocrinology,NC,2024-10-26,2079.19,Research Payment,NovaHealth Inc
PHY00410,Rheumatology,NY,2024-04-27,82.14,Meal,Acme Pharma
PHY00140,Cardiology,NY,2025-07-12,526.55,Consulting Fee,NovaHealth Inc
PHY00142,Cardiology,CA,2024-11-15,248.52,Meal,Acme Pharma
PHY00491,Psychiatry,MI,2024-09-15,85.56,Consulting Fee,NovaHealth Inc
PHY00178,Endocrinology,GA,2024-01-10,2687.62,Speaker Fee,Acme Pharma
PHY00168,General Practice,TX,2025-10-03,2645.96,Meal,Acme Pharma
PHY00319,General Practice,IL,2025-09-04,4306.38,Travel & Lodging,NovaHealth Inc
PHY00095,Rheumatology,CA,2025-08-03,118.48,Royalty,MedCore Ltd
PHY00236,Neurology,GA,2024-11-29,132.94,Consulting Fee,MedCore Ltd
PHY00320,Rheumatology,FL,2025-07-25,55.14,Research Payment,MedCore Ltd
PHY00267,Neurology,GA,2024-08-16,136.3,Research Payment,Acme Pharma
PHY00005,Endocrinology,TX,2025-01-13,145.61,Royalty,NovaHealth Inc
PHY00062,General Practice,IL,2024-05-11,654.78,Speaker Fee,MedCore Ltd
PHY00328,General Practice,MI,2024-10-21,31.54,Royalty,MedCore Ltd
PHY00179,Cardiology,NY,2025-09-28,864.29,Consulting Fee,Acme Pharma
PHY00145,Psychiatry,NY,2024-08-12,88.92,Speaker Fee,NovaHealth Inc
PHY00309,Psychiatry,GA,2025-09-07,327.15,Royalty,NovaHealth Inc
PHY00067,Neurology,NY,2025-01-25,38.99,Travel & Lodging,MedCore Ltd
PHY00042,General Practice,TX,2025-03-23,1895.03,Travel & Lodging,MedCore Ltd
PHY00157,General Practice,GA,2025-07-03,235.38,Consulting Fee,Acme Pharma
PHY00485,Pulmonology,PA,2025-02-14,1497.76,Travel & Lodging,NovaHealth Inc
PHY00353,Cardiology,IL,2024-04-27,396.41,Royalty,Acme Pharma
PHY00159,Cardiology,MI,2024-08-15,3672.54,Research Payment,MedCore Ltd
PHY00261,Cardiology,NY,2024-06-05,79.81,Meal,MedCore Ltd
PHY00173,Endocrinology,NC,2024-05-09,252.83,Meal,MedCore Ltd
PHY00282,Neurology,PA,2024-10-09,208.07,Research Payment,MedCore Ltd
PHY00011,Endocrinology,GA,2024-09-10,300.28,Speaker Fee,NovaHealth Inc
PHY00363,Cardiology,MI,2025-01-30,666.93,Speaker Fee,Acme Pharma
PHY00104,Neurology,PA,2024-07-28,191.83,Meal,BioGen Solutions
PHY00460,Endocrinology,NC,2024-12-21,258.86,Meal,Acme Pharma
PHY00376,Neurology,OH,2024-05-06,330.4,Speaker Fee,Acme Pharma
PHY00051,General Practice,MI,2024-01-29,62.32,Royalty,MedCore Ltd
PHY00297,Rheumatology,NY,2025-12-26,115.25,Meal,NovaHealth Inc
PHY00471,Pulmonology,GA,2024-01-01,135.03,Royalty,BioGen Solutions
PHY00371,Neurology,CA,2025-10-22,1308.45,Speaker Fee,MedCore Ltd
PHY00313,Neurology,NC,2024-04-26,106.86,Speaker Fee,Acme Pharma
PHY00291,Cardiology,NC,2025-07-28,864.49,Royalty,NovaHealth Inc
PHY00391,Endocrinology,IL,2024-07-28,181.85,Travel & Lodging,NovaHealth Inc
PHY00347,Endocrinology,NY,2025-06-12,143.71,Travel & Lodging,BioGen Solutions
PHY00182,General Practice,FL,2025-10-25,270.21,Consulting Fee,BioGen Solutions
PHY00180,Endocrinology,CA,2025-12-10,103.34,Speaker Fee,MedCore Ltd
PHY00370,General Practice,FL,2025-04-13,725.65,Consulting Fee,BioGen Solutions
PHY00337,Pulmonology,TX,2024-03-24,3759.28,Royalty,MedCore Ltd
PHY00063,Pulmonology,OH,2025-12-01,34.63,Consulting Fee,BioGen Solutions
PHY00257,General Practice,PA,2024-05-20,47.69,Travel & Lodging,NovaHealth Inc
PHY00032,Cardiology,GA,2025-10-31,24.69,Research Payment,Acme Pharma
PHY00429,Cardiology,OH,2025-04-21,5344.98,Speaker Fee,Acme Pharma
PHY00078,Neurology,OH,2025-01-05,64.81,Speaker Fee,NovaHealth Inc
PHY00476,Psychiatry,TX,2024-04-22,1091.49,Meal,Acme Pharma
PHY00264,Cardiology,TX,2024-02-24,20.33,Travel & Lodging,MedCore Ltd
PHY00266,Oncology,FL,2025-04-02,264.11,Consulting Fee,BioGen Solutions
PHY00055,General Practice,MI,2025-04-20,766.49,Speaker Fee,BioGen Solutions
PHY00349,Psychiatry,IL,2024-01-08,581.73,Research Payment,MedCore Ltd
PHY00054,Neurology,FL,2024-08-26,63.13,Research Payment,BioGen Solutions
PHY00051,General Practice,MI,2025-08-31,1919.83,Travel & Lodging,MedCore Ltd
PHY00088,Cardiology,MI,2024-03-18,415.37,Royalty,BioGen Solutions
PHY00400,Cardiology,TX,2025-03-27,32.08,Speaker Fee,BioGen Solutions
PHY00330,Psychiatry,TX,2025-11-03,83.04,Research Payment,BioGen Solutions
PHY00112,General Practice,IL,2025-01-15,363.72,Speaker Fee,NovaHealth Inc
PHY00385,Pulmonology,PA,2025-12-09,695.07,Meal,BioGen Solutions
PHY00234,Neurology,PA,2025-01-20,164.81,Meal,Acme Pharma
PHY00293,Cardiology,CA,2024-09-12,217.85,Royalty,Acme Pharma
PHY00226,Oncology,IL,2024-02-22,315.2,Royalty,MedCore Ltd
PHY00280,Oncology,MI,2025-08-15,217.88,Speaker Fee,NovaHealth Inc
PHY00120,Pulmonology,PA,2024-02-28,280.64,Consulting Fee,NovaHealth Inc
PHY00115,General Practice,CA,2024-07-27,293.06,Royalty,Acme Pharma
PHY00040,Endocrinology,NY,2024-08-24,47.94,Royalty,BioGen Solutions
PHY00494,Rheumatology,CA,2024-01-04,139.31,Speaker Fee,NovaHealth Inc
PHY00029,Psychiatry,NY,2024-04-18,919.32,Royalty,NovaHealth Inc
PHY00128,Cardiology,MI,2024-02-11,974.29,Meal,Acme Pharma
PHY00422,Oncology,TX,2024-02-03,2715.38,Speaker Fee,MedCore Ltd
PHY00087,Rheumatology,MI,2025-09-20,578.89,Speaker Fee,NovaHealth Inc
PHY00469,Pulmonology,NY,2024-01-27,1710.67,Consulting Fee,Acme Pharma
PHY00455,Pulmonology,CA,2025-11-15,1610.97,Consulting Fee,NovaHealth Inc
PHY00469,Pulmonology,NY,2025-04-20,148.05,Speaker Fee,MedCore Ltd
PHY00310,Rheumatology,MI,2024-12-28,1402.36,Consulting Fee,BioGen Solutions
PHY00181,Pulmonology,NY,2024-10-18,186.79,Meal,Acme Pharma
PHY00187,Oncology,OH,2024-08-14,1042.22,Royalty,NovaHealth Inc
PHY00055,General Practice,MI,2025-09-14,29.79,Meal,BioGen Solutions
PHY00227,Pulmonology,NY,2024-08-31,210.89,Travel & Lodging,Acme Pharma
