physician_id,physician_specialty,physician_state,last_payment_date,frequency,value,recency_days,r_score,f_score,v_score,rfm_score,segment
PHY00001,General Practice,IL,2025-12-23,11,5873.2300000000005,7,4,4,4,12,High Priority
PHY00218,Pulmonology,OH,2025-12-29,10,6344.34,1,4,4,4,12,High Priority
PHY00407,Rheumatology,GA,2025-12-23,12,7464.2699999999995,7,4,4,4,12,High Priority
PHY00118,Rheumatology,MI,2025-12-25,14,5385.08,5,4,4,4,12,High Priority
PHY00376,Neurology,OH,2025-12-20,14,12392.73,10,4,4,4,12,High Priority
PHY00287,Cardiology,NY,2025-12-20,13,11737.050000000001,10,4,4,4,12,High Priority
PHY00082,Neurology,IL,2025-12-20,13,7935.530000000001,10,4,4,4,12,High Priority
PHY00088,Cardiology,MI,2025-12-20,13,8242.81,10,4,4,4,12,High Priority
PHY00386,Psychiatry,IL,2025-12-11,10,6975.29,19,4,4,4,12,High Priority
PHY00385,Pulmonology,PA,2025-12-09,11,5852.91,21,4,4,4,12,High Priority
PHY00337,Pulmonology,TX,2025-12-29,11,8528.44,1,4,4,4,12,High Priority
PHY00309,Psychiatry,GA,2025-12-27,14,6978.8099999999995,3,4,4,4,12,High Priority
PHY00032,Cardiology,GA,2025-12-23,11,5270.860000000001,7,4,4,4,12,High Priority
PHY00328,General Practice,MI,2025-12-13,10,5549.03,17,4,4,4,12,High Priority
PHY00477,Cardiology,MI,2025-12-26,11,7511.11,4,4,4,4,12,High Priority
PHY00042,General Practice,TX,2025-12-08,12,7600.41,22,4,4,4,12,High Priority
PHY00067,Neurology,NY,2025-12-23,13,7838.65,7,4,4,4,12,High Priority
PHY00016,Pulmonology,TX,2025-12-28,13,6779.83,2,4,4,4,12,High Priority
PHY00175,Psychiatry,MI,2025-12-16,13,6389.37,14,4,4,4,12,High Priority
PHY00142,Cardiology,CA,2025-12-25,16,8107.39,5,4,4,4,12,High Priority
PHY00413,Rheumatology,FL,2025-12-15,10,4035.44,15,4,4,3,11,High Priority
PHY00221,Endocrinology,IL,2025-12-25,11,3690.12,5,4,4,3,11,High Priority
PHY00003,Pulmonology,CA,2025-12-28,12,3667.32,2,4,4,3,11,High Priority
PHY00214,General Practice,FL,2025-12-21,10,4654.74,9,4,4,3,11,High Priority
PHY00208,Neurology,NY,2025-12-09,9,8731.38,21,4,3,4,11,High Priority
PHY00500,Neurology,FL,2025-12-17,9,10321.18,13,4,3,4,11,High Priority
